,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
127695,06/07/2020,23:15,BRONX,10454.0,40.810402,-73.92196,"(40.810402, -73.92196)",EAST 140 STREET                 ,WILLIS AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,4318415,Bike,Bike,,,
127848,05/27/2020,18:30,,,,,,,,72        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Outside Car Distraction,Unspecified,,,,4316287,Bike,Bike,,,
131397,03/19/2020,16:40,BROOKLYN,11205.0,40.697838,-73.97077,"(40.697838, -73.97077)",FLUSHING AVENUE                 ,VANDERBILT AVENUE,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4302412,Bike,Bike,,,
134166,03/08/2020,21:40,,,40.801754,-73.93121,"(40.801754, -73.93121)",EAST 125 STREET                 ,1 AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,4306269,Bike,Bike,,,
137345,02/22/2020,16:17,,,40.812138,-73.96636,"(40.812138, -73.96636)",HENRY HUDSON PARKWAY            ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4292177,Bike,Bike,,,
138145,03/09/2020,11:55,BROOKLYN,11220.0,40.61143,-74.03485,"(40.61143, -74.03485)",SHORE ROAD                      ,4 AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4306543,Bike,Bike,,,
153408,01/22/2020,13:49,MANHATTAN,10001.0,40.74881,-74.000946,"(40.74881, -74.000946)",,,428       WEST 26 STREET                ,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Unspecified,,,,4278033,Bike,Bike,,,
176291,12/29/2019,11:31,,,,,,,,95        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4266322,Bike,Bike,,,
181026,11/21/2019,16:07,MANHATTAN,10023.0,40.78031,-73.98569,"(40.78031, -73.98569)",WEST 72 STREET                  ,RIVERSIDE DRIVE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4245360,Bike,Bike,,,
197209,11/01/2019,7:30,,,,,,,,77        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4233102,Bike,Bike,,,
215689,10/05/2019,14:58,MANHATTAN,10000.0,40.784473,-73.967224,"(40.784473, -73.967224)",TRANSVERSE ROAD NUMBER THREE    ,WEST DRIVE,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4218696,Bike,Bike,,,
219656,09/22/2019,12:00,MANHATTAN,10014.0,40.735302,-74.00994,"(40.735302, -74.00994)",WEST 11 STREET                  ,WEST STREET,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4210605,Bike,Bike,,,
219870,10/14/2019,9:35,,,40.675644,-73.94161,"(40.675644, -73.94161)",KINGSTON AVENUE                 ,,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4246310,Bike,Bike,,,
221296,09/22/2019,14:20,,,,,,,,107       WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4210646,Bike,Bike,,,
222899,10/05/2019,1:50,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4218865,Bike,Bike,,,
226267,10/02/2019,7:30,,,,,,,,79        WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4216353,Bike,Bike,,,
226521,09/20/2019,16:45,,,40.734688,-73.99998,"(40.734688, -73.99998)",WEST 10 STREET                  ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4209851,Bike,Bike,,,
228846,09/17/2019,17:45,MANHATTAN,10021.0,40.768486,-73.955505,"(40.768486, -73.955505)",1 AVENUE                        ,EAST 73 STREET,,1.0,0.0,0,0,1,0,0,0,Passing Too Closely,Unspecified,,,,4207718,Bike,Bike,,,
230545,09/17/2019,1:02,MANHATTAN,10011.0,40.74756,-74.00786,"(40.74756, -74.00786)",WEST 21 STREET                  ,11 AVENUE,,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4207617,Bike,Bike,,,
233459,08/27/2019,7:25,,,,,,,,57        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Reaction to Uninvolved Vehicle,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4196149,Bike,Bike,,,
236602,07/09/2019,18:28,BROOKLYN,11226.0,,,,,,171       east drive                    ,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4167424,Bike,Bike,,,
236777,08/29/2019,17:37,MANHATTAN,10010.0,40.738953,-73.98012,"(40.738953, -73.98012)",,,434       2 AVENUE                      ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4197210,Bike,Bike,,,
240624,09/08/2019,23:45,,,40.688667,-73.87548,"(40.688667, -73.87548)",JAMAICA AVENUE                  ,EUCLID AVENUE,,2.0,0.0,0,0,2,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4203328,Bike,Bike,,,
240905,08/26/2019,17:30,,,,,,,,71        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4195567,Bike,Bike,,,
242175,08/24/2019,10:58,,,,,,,,79        WEST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4194122,Bike,Bike,,,
243212,08/18/2019,17:05,,,40.82309,-73.956345,"(40.82309, -73.956345)",WEST 138 STREET                 ,,,2.0,0.0,0,0,2,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4191424,Bike,Bike,,,
245369,09/08/2019,17:40,BROOKLYN,11238.0,40.672733,-73.96966,"(40.672733, -73.96966)",WEST DRIVE                      ,PLAZA STREET WEST,,2.0,0.0,0,0,2,0,0,0,Following Too Closely,Unspecified,,,,4206274,Bike,Bike,,,
247615,07/29/2019,12:50,MANHATTAN,10016.0,40.741535,-73.98117,"(40.741535, -73.98117)",,,379       3 AVENUE                      ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4179207,Bike,Bike,,,
249577,08/01/2019,7:20,,,40.70766,-73.78773,"(40.70766, -73.78773)",JAMAICA AVENUE                  ,172 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4185891,Bike,Bike,,,
250531,08/04/2019,14:00,MANHATTAN,10009.0,40.725796,-73.986626,"(40.725796, -73.986626)",1 AVENUE                        ,EAST 5 STREET,,1.0,0.0,0,0,1,0,0,0,Other Vehicular,Passing or Lane Usage Improper,,,,4183736,Bike,Bike,,,
250977,08/04/2019,21:00,,,40.743214,-73.95135,"(40.743214, -73.95135)",PULASKI BRIDGE                  ,JACKSON AVENUE,,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4183428,Bike,Bike,,,
256228,07/30/2019,18:02,,,40.71997,-73.992905,"(40.71997, -73.992905)",CHRYSTIE STREET                 ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4180325,Bike,Bike,,,
256341,08/06/2019,18:50,,,,,,EAST DRIVE                      ,LINCOLN ROAD DRIVE,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4184098,Bike,Bike,,,
256742,08/05/2019,20:00,QUEENS,11103.0,40.764267,-73.9158,"(40.764267, -73.9158)",30 AVENUE                       ,38 STREET,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4183999,Bike,Bike,,,
257366,07/24/2019,7:45,MANHATTAN,10022.0,40.76023,-73.961525,"(40.76023, -73.961525)",1 AVENUE                        ,EAST 60 STREET,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4176049,Bike,Bike,,,
260552,08/11/2019,17:00,,,,,,,,97        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4187244,Bike,Bike,Bike,,
262001,07/25/2019,15:55,BRONX,10458.0,40.860554,-73.89464,"(40.860554, -73.89464)",EAST 188 STREET                 ,ELM PLACE,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4177174,Bike,Bike,,,
262526,07/24/2019,13:45,QUEENS,11368.0,40.752747,-73.864174,"(40.752747, -73.864174)",,,37-81     103 STREET                    ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4178051,Bike,Bike,,,
263800,06/30/2019,15:00,,,,,,,,95        WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4167397,Bike,Bike,,,
263843,07/03/2019,14:25,MANHATTAN,10000.0,40.77509,-73.96821,"(40.77509, -73.96821)",,,7401      EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4164291,Bike,Bike,,,
265842,07/15/2019,19:35,,,40.79531,-73.93592,"(40.79531, -73.93592)",EAST 115 STREET                 ,,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4173633,Bike,Bike,,,
268040,06/26/2019,20:45,,,40.72931,-73.997894,"(40.72931, -73.997894)",WEST 3 STREET                   ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4162085,Bike,Bike,,,
269147,07/07/2019,15:10,MANHATTAN,10022.0,40.756763,-73.96716,"(40.756763, -73.96716)",2 AVENUE                        ,EAST 53 STREET,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4165675,Bike,Bike,,,
269626,06/26/2019,11:30,,,,,,,,65        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,4159145,Bike,Bike,,,
272102,07/15/2019,20:45,BROOKLYN,11208.0,40.683346,-73.88651,"(40.683346, -73.88651)",CLEVELAND STREET                ,JAMAICA AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,4171380,Bike,Bike,,,
278589,07/02/2019,8:30,,,,,,WEST DRIVE                      ,9 street,,2.0,0.0,0,0,2,0,0,0,Following Too Closely,Unspecified,,,,4163575,Bike,Bike,,,
279935,06/24/2019,19:14,QUEENS,11419.0,40.681675,-73.8328,"(40.681675, -73.8328)",108 STREET                      ,107 AVENUE,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4157958,Bike,Bike,,,
284676,06/12/2019,19:00,,,,,,,,WILLIAMSBURG BRIGDE BIKE PATH           ,1.0,0.0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4151062,Bike,Bike,,,
285791,06/15/2019,15:20,,,,,,,,59        EAST DRIVE                    ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4152228,Bike,Bike,,,
286780,06/09/2019,14:10,,,,,,,,73        WEST DRIVE                    ,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4148467,Bike,Bike,,,
287487,06/04/2019,14:15,MANHATTAN,10003.0,40.731834,-73.985306,"(40.731834, -73.985306)",,,218       2 AVENUE                      ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4146047,Bike,Bike,,,
287854,06/15/2019,22:15,,,,,,MANHATTAN BR UPPER              ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,,,,4152097,Bike,Bike,,,
290132,06/06/2019,17:20,,,40.732403,-74.0102,"(40.732403, -74.0102)",WEST STREET                     ,,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4147079,Bike,Bike,,,
292783,06/06/2019,18:00,BROOKLYN,11249.0,40.71977,-73.96232,"(40.71977, -73.96232)",KENT AVENUE                     ,NORTH 6 STREET,,1.0,0.0,0,0,1,0,0,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,,,,4148522,Bike,Bike,,,
295445,06/16/2019,10:35,BROOKLYN,11249.0,40.719227,-73.962906,"(40.719227, -73.962906)",NORTH 5 STREET                  ,KENT AVENUE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4152312,Bike,Bike,,,
296019,06/12/2019,20:20,,,,,,BROOKLYN BRIDGE                 ,,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4150355,Bike,Bike,,,
300759,05/23/2019,20:00,,,40.73975,-74.00253,"(40.73975, -74.00253)",WEST 14 STREET                  ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4142963,Bike,Bike,,,
300788,05/03/2019,17:10,MANHATTAN,10003.0,40.733524,-73.989876,"(40.733524, -73.989876)",EAST 13 STREET                  ,4 AVENUE,,1.0,0.0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4126397,Bike,Bike,,,
300886,05/07/2019,17:10,,,,,,MANHATTAN BR UPPER              ,,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4128139,Bike,Bike,,,
311577,05/17/2019,6:30,MANHATTAN,10011.0,40.744724,-74.008385,"(40.744724, -74.008385)",11 AVENUE                       ,WEST 17 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4135784,Bike,Bike,,,
313687,04/15/2019,16:50,BROOKLYN,11226.0,40.651817,-73.9603,"(40.651817, -73.9603)",,,100       EAST 21 STREET                ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4115248,Bike,Bike,,,
316926,04/16/2019,12:30,,,40.754093,-73.99209,"(40.754093, -73.99209)",8 AVENUE                        ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4117269,Bike,Bike,,,
321795,04/28/2019,14:00,,,40.721424,-73.96054,"(40.721424, -73.96054)",,,KENT AVENUE                             ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4121783,Bike,Bike,,,
324611,04/17/2019,19:59,MANHATTAN,10002.0,40.72098,-73.98696,"(40.72098, -73.98696)",ESSEX STREET                    ,STANTON STREET,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4116499,Bike,Bike,,,
327791,04/19/2019,20:40,BROOKLYN,11206.0,40.694557,-73.94325,"(40.694557, -73.94325)",THROOP AVENUE                   ,WILLOUGHBY AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4118510,Bike,Bike,,,
331758,03/30/2019,3:05,,,40.658535,-73.97328,"(40.658535, -73.97328)",WEST DRIVE                      ,,,1.0,0.0,0,0,1,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4106423,Bike,Bike,,,
334181,03/25/2019,16:50,,,40.796215,-73.94971,"(40.796215, -73.94971)",EAST 109 STREET                 ,,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4103263,Bike,Bike,,,
337720,03/23/2019,11:45,MANHATTAN,10032.0,40.837803,-73.94215,"(40.837803, -73.94215)",WEST 163 STREET                 ,BROADWAY,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4102437,Bike,Bike,,,
339171,03/16/2019,16:50,MANHATTAN,10003.0,40.733967,-73.98062,"(40.733967, -73.98062)",,,315       1 AVENUE                      ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4098174,Bike,Bike,,,
355068,02/28/2019,23:00,,,40.76411,-73.9885,"(40.76411, -73.9885)",9 AVENUE                        ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4088839,Bike,Bike,,,
360095,02/10/2019,22:05,BROOKLYN,11205.0,40.69339,-73.9764,"(40.69339, -73.9764)",,,295       MYRTLE AVENUE                 ,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4078575,Bike,Bike,,,
376008,01/11/2019,11:20,,,40.658546,-73.99634,"(40.658546, -73.99634)",26 STREET                       ,,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4058518,Bike,Bike,,,
376977,01/26/2019,23:30,MANHATTAN,10017.0,40.75144,-73.97397,"(40.75144, -73.97397)",3 AVENUE                        ,EAST 43 STREET,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071143,Bike,Bike,,,
380894,12/18/2018,18:35,MANHATTAN,10022.0,40.758373,-73.971,"(40.758373, -73.971)",LEXINGTON AVENUE                ,EAST 53 STREET,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4048317,Bike,Bike,,,
383878,01/01/2019,15:30,,,,,,,,79        WEST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Driver Inexperience,,,,4060555,Bike,Bike,,,
399662,11/28/2018,22:15,,,40.67738,-73.92824,"(40.67738, -73.92824)",ATLANTIC AVENUE                 ,,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4055774,Bike,Bike,,,
432231,09/22/2018,19:47,BROOKLYN,11233.0,40.68224,-73.913376,"(40.68224, -73.913376)",,,466       CHAUNCEY STREET               ,1.0,0.0,0,0,1,0,0,0,Other Vehicular,Turning Improperly,,,,3987000,Bike,Bike,,,
434523,09/27/2018,10:45,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3989373,Bike,Bike,,,
436629,10/14/2018,8:55,MANHATTAN,10023.0,40.771248,-73.98338,"(40.771248, -73.98338)",,,61        COLUMBUS AVENUE               ,1.0,0.0,0,0,1,0,0,0,Unsafe Speed,Unspecified,,,,4000296,Bike,Bike,,,
437505,10/10/2018,14:50,BROOKLYN,11206.0,40.6961,-73.943,"(40.6961, -73.943)",,,979       MYRTLE AVENUE                 ,1.0,0.0,0,0,1,0,0,0,Unspecified,,,,,3998339,Bike,Bike,,,
442214,09/30/2018,14:10,,,40.672733,-73.96966,"(40.672733, -73.96966)",WEST DRIVE                      ,,,2.0,0.0,0,0,2,0,0,0,Unsafe Speed,Unsafe Lane Changing,,,,3990930,Bike,Bike,,,
444455,10/05/2018,18:36,,,,,,EAST FORDHAM ROAD               ,,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3994413,Bike,Bike,,,
445477,09/22/2018,14:00,BROOKLYN,11215.0,40.66617,-73.988815,"(40.66617, -73.988815)",14 STREET                       ,5 AVENUE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3986278,Bike,Bike,,,
445609,09/22/2018,15:50,QUEENS,11103.0,40.76654,-73.91599,"(40.76654, -73.91599)",,,36-14     28 AVENUE                     ,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3986293,Bike,Bike,,,
447525,09/14/2018,15:55,BROOKLYN,11206.0,40.701378,-73.93912,"(40.701378, -73.93912)",,,835       FLUSHING AVENUE               ,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3982290,Bike,Bike,,,
452845,09/03/2018,22:10,MANHATTAN,10003.0,40.73154,-73.99164,"(40.73154, -73.99164)",,,781       BROADWAY                      ,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3973333,Bike,Bike,,,
455004,08/30/2018,15:00,,,,,,,,59        CENTER DRIVE                  ,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3972067,Bike,Bike,,,
456286,09/17/2018,2:15,BROOKLYN,11206.0,40.701714,-73.943596,"(40.701714, -73.943596)",,,690       BROADWAY                      ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3982420,Bike,Bike,,,
456422,08/30/2018,18:25,MANHATTAN,10002.0,40.718143,-73.993835,"(40.718143, -73.993835)",CHRYSTIE STREET                 ,GRAND STREET,,2.0,0.0,0,0,2,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3971367,Bike,Bike,,,
459525,09/07/2018,20:05,,,40.7083,-74.01125,"(40.7083, -74.01125)",BROADWAY                        ,,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3976765,Bike,Bike,,,
459727,09/18/2018,0:00,,,40.718555,-73.988205,"(40.718555, -73.988205)",DELANCEY STREET                 ,,,2.0,0.0,0,0,2,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3983382,Bike,Bike,,,
463898,08/03/2018,19:05,,,,,,OCEAN PROMENADE                 ,BEACH 95 STREET,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3954622,Bike,Bike,,,
467314,08/06/2018,19:50,BROOKLYN,11220.0,40.644547,-74.01091,"(40.644547, -74.01091)",51 STREET                       ,5 AVENUE,,1.0,0.0,0,0,1,0,0,0,Unspecified,,,,,3956045,Bike,Bike,,,
471585,08/19/2018,20:23,,,40.67118,-73.96934,"(40.67118, -73.96934)",EAST DRIVE                      ,WEST DRIVE,,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3981819,Bike,Bike,,,
471874,08/14/2018,20:55,,,40.70683,-73.9684,"(40.70683, -73.9684)",KENT AVENUE                     ,,,1.0,0.0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,3961646,Bike,Bike,,,
472187,08/23/2018,17:20,MANHATTAN,10065.0,40.760857,-73.961075,"(40.760857, -73.961075)",EAST 61 STREET                  ,1 AVENUE,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3980594,Bike,Bike,,,
472352,08/12/2018,23:35,,,40.802486,-73.9309,"(40.802486, -73.9309)",1 AVENUE                        ,,,2.0,0.0,0,0,2,0,0,0,Alcohol Involvement,Unspecified,,,,3960637,Bike,Bike,,,
475366,08/17/2018,17:40,BROOKLYN,11219.0,40.642937,-73.99465,"(40.642937, -73.99465)",42 STREET                       ,10 AVENUE,,2.0,0.0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3964045,Bike,Bike,,,
479295,07/31/2018,15:40,,,40.817387,-73.92277,"(40.817387, -73.92277)",EAST 149 STREET                 ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3952190,Bike,Bike,,,
479471,08/01/2018,20:20,,,40.774292,-73.95127,"(40.774292, -73.95127)",EAST 82 STREET                  ,,,0.0,0.0,0,0,0,0,0,0,Lane Marking Improper/Inadequate,Unspecified,,,,3960249,Bike,Bike,,,
480714,06/14/2018,7:15,,,,,,,,77        EAST DRIVE                    ,1.0,0.0,0,0,1,0,0,0,Reaction to Uninvolved Vehicle,View Obstructed/Limited,,,,3920948,Bike,Bike,,,
480862,07/28/2018,3:13,BROOKLYN,11205.0,40.697716,-73.967735,"(40.697716, -73.967735)",FLUSHING AVENUE                 ,WASHINGTON AVENUE,,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3949695,Bike,Bike,,,
481211,07/20/2018,7:58,MANHATTAN,10128.0,40.78294,-73.948044,"(40.78294, -73.948044)",2 AVENUE                        ,EAST 94 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3945793,Bike,Bike,,,
481906,07/10/2018,7:20,,,40.75834,-73.95775,"(40.75834, -73.95775)",QUEENSBORO BRIDGE LOWER ROADWAY ,,,1.0,0.0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,3938417,Bike,Bike,,,
